id,name,lat,lng,rank
akl,Auckland,-36.850886,174.764509,1
wlg,Wellington,-41.276878,174.773146,2
chc,Christchurch,-43.532043,172.630606,3
zqn,Queenstown,-45.03023,168.66271,4
dud,Dunedin,-45.8742,170.5036,9
hlz,Hamilton,-37.7833,175.2833,6
trg,Tauranga,-37.6869,176.1653,7
rot,Rotorua,-38.1381,176.2529,10
gis,Gisborne,-38.6623,178.0176,
npe,Napier,-39.4928,176.912,12
npl,New Plymouth,-39.057,174.075,
pmr,Palmerston North,-40.3564,175.611,
tuo,Taupō,-38.6857,176.0702,
wag,Whanganui,-39.931,175.05,
whk,Whakatāne,-37.958,176.984,
wre,Whangārei,-35.725,174.323,
kke,Kerikeri,-35.228,173.947,
kat,Kaitaia,-35.113,173.262,
nsn,Nelson,-41.2706,173.284,11
bhe,Blenheim,-41.5134,173.9612,
hkk,Hokitika,-42.7167,170.9667,
ivc,Invercargill,-46.4132,168.3538,
tiu,Timaru,-44.396,171.2536,
