Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,x,y
703984,Pudding Hill Track,A 2 hour walk to the summit of Pudding Hill.,Intermediate,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d7a3a8ec03804341b8bc15c23e21a722.aspx,12/2/2025 8:34:14 AM,1604912.4397,5327381.761401
703985,Mitre Peak Track,Tramp from Mitre Flats to the bush line of Pukeamoamo/Mitre Peak.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d40c32bd3ee3433ba6da94ec7295c995.aspx,12/2/2025 8:34:14 AM,1808609.76170263,5478262.18270312
703986,River Ridge Track,This track connects Atiwhakatu Valley with Mountain House Shelter. It is more challenging than the Gentle Annie Track.,Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/26a0bb09448249d69b5e93657d0fd55f.aspx,12/2/2025 8:34:14 AM,1805596.89380244,5470416.4815029
703987,Nardoo Creek Route,This route provides access to Nardoo Hut and remotes tops in the area.,Expert,7-8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1832ab74c3d0471c93e758de4c5f31b6.aspx,https://www.doc.govt.nz/link/e0f48a2a816349a7af5f5a9141837baf.aspx,12/2/2025 8:34:13 AM,1557160.3105,5342075.14910099
703988,Waingawa River Track (Mitre Flats to Cow Creek),This track sidles next to the Waingawa River from Mitre Flats Hut to Cow Creek Hut.,Advanced,3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c8c46163daa44419ad5bb3d726046816.aspx,https://www.doc.govt.nz/link/32b544cb5a6341a7810fc80626108ecf.aspx,12/2/2025 8:34:13 AM,1809968.94320273,5480137.80230323
703989,Fossickers Lake Track,"The track loops around the Globe Progress Mine's former tailings storage facility, known as Fossickers Lake.",Easy,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/410b926f13d34e40a21e95c90102495c.aspx,https://www.doc.govt.nz/link/8dc9b7c8f9bc4be6b28be392cba8e9c3.aspx,12/2/2025 8:34:13 AM,1508421.80069996,5329754.883401
703990,Neill Winchcombe Circuit,"This is a challenging circuit via Cone, Neill Ridge, Mt Hector, Alpha and Bull Mound. You need strong fitness, backcountry tramping experience and good weather to attempt this trip.","Advanced, Expert",3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/246d3c0d119a4dbf897f7d230bf5f0a3.aspx,https://www.doc.govt.nz/link/ca9a650e4b92434d8dc14cf2763843ec.aspx,12/2/2025 8:34:13 AM,1795947.00720189,5464364.69250227
703991,Makino Track (Makahu Road to Makino Hut),Tramp to Makino Hut through manuka forest and red beech,Advanced,2-3 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a80e90734d534b4f99ff1e8c2c502db3.aspx,https://www.doc.govt.nz/link/8cf608b24f3345a0ae6bb3bf17f7e7b1.aspx,12/2/2025 8:34:13 AM,1896778.98711729,5656195.35543214
703992,High-Level Pack Track,"This steep track is best suited to more experience trampers. It can be combined with other tracks to make a loop walk, or used to access longer tramps in the upper Waiorongomai Valley track network.",Advanced,2 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4ff2319e26424a4b97afacad33290e31.aspx,https://www.doc.govt.nz/link/e056f7ff1c394a43b2a9e419f6fe419a.aspx,12/2/2025 8:34:13 AM,1843462.78970556,5841079.56840601
703993,Globe Hill Track,This track is for both trampers and mountain bikers. It connects the Reefton township with the Globe Progress Mine site.,Easy,3.5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7b60701b3c724f79aeaaf80a20c31ce4.aspx,https://www.doc.govt.nz/link/8389b924f1ff45819636d10b82677207.aspx,12/2/2025 8:34:13 AM,1507076.24429996,5333256.129501
703994,South Ohau Hut via Waiopehu and Dora Ridge,"Tramp to South Ohau Hut on Waiopehu Track, Dora Track and Yeates Track.",Advanced,7-8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/74f3e96cfe8443408ec22a92680072c4.aspx,https://www.doc.govt.nz/link/1b5d5f17d0da46f5ba2741194096eacd.aspx,12/2/2025 8:34:12 AM,1814006.83700302,5485454.7310036
