Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,Shape__Length
707947,Pudding Hill Track,A 2 hour walk to the summit of Pudding Hill.,Intermediate,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d7a3a8ec03804341b8bc15c23e21a722.aspx,12/2/2025 8:34:14 AM,4748.45023774627
707948,Mitre Peak Track,Tramp from Mitre Flats to the bush line of Pukeamoamo/Mitre Peak.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d40c32bd3ee3433ba6da94ec7295c995.aspx,12/2/2025 8:34:14 AM,2654.02538318172
707949,River Ridge Track,This track connects Atiwhakatu Valley with Mountain House Shelter. It is more challenging than the Gentle Annie Track.,Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/26a0bb09448249d69b5e93657d0fd55f.aspx,12/2/2025 8:34:14 AM,1652.41897265815
707950,Nardoo Creek Route,This route provides access to Nardoo Hut and remotes tops in the area.,Expert,7-8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1832ab74c3d0471c93e758de4c5f31b6.aspx,https://www.doc.govt.nz/link/e0f48a2a816349a7af5f5a9141837baf.aspx,12/2/2025 8:34:13 AM,14539.8674369386
707951,Waingawa River Track (Mitre Flats to Cow Creek),This track sidles next to the Waingawa River from Mitre Flats Hut to Cow Creek Hut.,Advanced,3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c8c46163daa44419ad5bb3d726046816.aspx,https://www.doc.govt.nz/link/32b544cb5a6341a7810fc80626108ecf.aspx,12/2/2025 8:34:13 AM,7290.51454799599
707952,Fossickers Lake Track,"The track loops around the Globe Progress Mine's former tailings storage facility, known as Fossickers Lake.",Easy,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/410b926f13d34e40a21e95c90102495c.aspx,https://www.doc.govt.nz/link/8dc9b7c8f9bc4be6b28be392cba8e9c3.aspx,12/2/2025 8:34:13 AM,5818.43730463597
707953,Neill Winchcombe Circuit,"This is a challenging circuit via Cone, Neill Ridge, Mt Hector, Alpha and Bull Mound. You need strong fitness, backcountry tramping experience and good weather to attempt this trip.","Advanced, Expert",3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/246d3c0d119a4dbf897f7d230bf5f0a3.aspx,https://www.doc.govt.nz/link/ca9a650e4b92434d8dc14cf2763843ec.aspx,12/2/2025 8:34:13 AM,7194.32164999288
707954,Makino Track (Makahu Road to Makino Hut),Tramp to Makino Hut through manuka forest and red beech,Advanced,2-3 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a80e90734d534b4f99ff1e8c2c502db3.aspx,https://www.doc.govt.nz/link/8cf608b24f3345a0ae6bb3bf17f7e7b1.aspx,12/2/2025 8:34:13 AM,5460.84086028054
707955,Globe Hill Track,This track is for both trampers and mountain bikers. It connects the Reefton township with the Globe Progress Mine site.,Easy,3.5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7b60701b3c724f79aeaaf80a20c31ce4.aspx,https://www.doc.govt.nz/link/8389b924f1ff45819636d10b82677207.aspx,12/2/2025 8:34:13 AM,9215.15772592821
707956,South Ohau Hut via Waiopehu and Dora Ridge,"Tramp to South Ohau Hut on Waiopehu Track, Dora Track and Yeates Track.",Advanced,7-8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/74f3e96cfe8443408ec22a92680072c4.aspx,https://www.doc.govt.nz/link/1b5d5f17d0da46f5ba2741194096eacd.aspx,12/2/2025 8:34:12 AM,4112.16537398385
707957,Avoca Valley Track,This track leads from the Haper Valley up Avoca Valley to Avoca Hut.,Expert,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/73990b48d48a47bdb09535de8f42cc90.aspx,https://www.doc.govt.nz/link/a6c84e72c0594414b20deacce9a83695.aspx,12/2/2025 8:34:12 AM,24633.5710149308
707958,Dons Stream Walk,A walk to a pleasant picnic spot beside a stream,Advanced,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/56722da5193c4e24b8baf69bffcba34d.aspx,12/2/2025 8:34:12 AM,1048.07356469664
707959,Lake Rototuna and Lake Rotoroa (Kaweka Lakes) Track,"A short walk to Lake Rototuna and Lake Rotoroa, a nice picnic spot",Easy,30 mins from Lakes carpark to Lake Rototuna and La,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3578db763ed34a0bbca4d3cd2e5b9343.aspx,https://www.doc.govt.nz/link/4b89751c23b04ed88c307771054e2a39.aspx,12/2/2025 8:34:12 AM,2257.37422219499
707960,Pylon Peak Summit Loop,"A strenuous but rewarding hike to the summit of Pylon Peak, offering great views. It can be combined with other tracks for a full day tramp.","Advanced, Expert",6-7 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d1a848434abe46ab98ea7f0e239a3cb6.aspx,https://www.doc.govt.nz/link/dfc7397282e8405583dc7f99892521c3.aspx,12/2/2025 8:34:12 AM,3861.08299231419
707961,Trig M Route,Follow an old 4WD track to a high point above Lake Lyndon.,Expert,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fe68d4df9cd1458299bad7430e0a51ef.aspx,https://www.doc.govt.nz/link/98274b84f3034d18a01c5651035ff494.aspx,12/2/2025 8:34:12 AM,3104.7627214578
707962,Mt Richmond routes,These tracks provide access to Mt Richmond (1760 m) and can be combined for weekend round trip.,Expert,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/377c461fd7f24fdf8d64dd6acfbcaa78.aspx,https://www.doc.govt.nz/link/8bf3a15e3ee546259bf15dca480b592a.aspx,12/2/2025 8:34:11 AM,23837.394729885
707963,Connett Loop Track,"A pleasant walk through 'goblin' forest, laden with moss and lichens.",Easiest,40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c6e4e39377ae4fb396aa6b82c69c4573.aspx,12/2/2025 8:34:11 AM,583.215476940437
707964,Trig Lookout Track / Mount Chisolm Track,These tracks offer spectacular views of the surrounding valleys.,Intermediate,Trig Lookout - 50 min / Mount Chisolm - 2hr 40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/6e5ce690b2d84a34b7295a4dc0efa96a.aspx,12/2/2025 8:34:11 AM,3814.6867300338
